run_id,timestamp,commit_sha,config_hash,model,seed,rounds,broadcasts,coverage,correct_edges,false_edges,total_gt_edges,mission_score,norm_score,runtime_s,logfile
20251114-225049-39-54119d,2025-11-14T22:50:49.901734,79158238a610e39334818ac86592c2692730fde0,6f0a90e16d,llama3.1:8b,39,32,2,0.4688,23,0,60,23,0.38333,136.7,logs\simulation_2025-11-14.log
20251114-225219-40-8054f0,2025-11-14T22:52:19.861170,79158238a610e39334818ac86592c2692730fde0,78242e704e,llama3.1:8b,40,32,2,0.3906,24,0,60,24,0.4,89.94,logs\simulation_2025-11-14.log
20251114-225346-41-d640c1,2025-11-14T22:53:46.602078,79158238a610e39334818ac86592c2692730fde0,b04796adc5,llama3.1:8b,41,32,1,0.4688,31,0,60,31,0.51667,86.72,logs\simulation_2025-11-14.log
20251114-225457-42-63d557,2025-11-14T22:54:57.731498,79158238a610e39334818ac86592c2692730fde0,7e1dc9eedb,llama3.1:8b,42,32,3,0.2188,28,0,74,28,0.37838,71.11,logs\simulation_2025-11-14.log
20251114-225622-43-91b477,2025-11-14T22:56:22.942665,79158238a610e39334818ac86592c2692730fde0,90c3b901be,llama3.1:8b,43,32,2,0.4688,30,0,59,30,0.50847,85.19,logs\simulation_2025-11-14.log
20251114-225730-44-f74de3,2025-11-14T22:57:30.242172,79158238a610e39334818ac86592c2692730fde0,40709a2fe3,llama3.1:8b,44,32,0,0.3438,29,0,56,29,0.51786,67.27,logs\simulation_2025-11-14.log
20251114-225846-45-3f5a58,2025-11-14T22:58:46.642497,79158238a610e39334818ac86592c2692730fde0,4420a2acc0,llama3.1:8b,45,32,1,0.4219,23,0,67,23,0.34328,76.37,logs\simulation_2025-11-14.log
20251114-230030-46-f232a2,2025-11-14T23:00:30.412965,79158238a610e39334818ac86592c2692730fde0,a83e068f38,llama3.1:8b,46,32,0,0.4219,31,0,57,31,0.54386,103.75,logs\simulation_2025-11-14.log
20251114-230153-47-0ce905,2025-11-14T23:01:53.380759,79158238a610e39334818ac86592c2692730fde0,40e0ccad6a,llama3.1:8b,47,32,0,0.4219,24,0,60,24,0.4,82.94,logs\simulation_2025-11-14.log
20251114-230321-48-5cacbd,2025-11-14T23:03:21.131109,79158238a610e39334818ac86592c2692730fde0,b8d3b3a116,llama3.1:8b,48,32,0,0.4062,28,0,61,28,0.45902,87.73,logs\simulation_2025-11-14.log
20251114-230512-49-8a0cd3,2025-11-14T23:05:12.543178,79158238a610e39334818ac86592c2692730fde0,40dc9ced0f,llama3.1:8b,49,32,2,0.5781,35,0,61,35,0.57377,111.39,logs\simulation_2025-11-14.log
20251114-230711-50-63b022,2025-11-14T23:07:11.601973,79158238a610e39334818ac86592c2692730fde0,a506296e6c,llama3.1:8b,50,32,1,0.4062,19,0,61,19,0.31148,119.03,logs\simulation_2025-11-14.log
20251114-230848-51-8a5e14,2025-11-14T23:08:47.992020,79158238a610e39334818ac86592c2692730fde0,ac9a343642,llama3.1:8b,51,32,2,0.5312,32,0,55,32,0.58182,96.36,logs\simulation_2025-11-14.log
20251114-231020-52-78865a,2025-11-14T23:10:20.941981,79158238a610e39334818ac86592c2692730fde0,ab31695f4d,llama3.1:8b,52,32,1,0.5,35,0,67,35,0.52239,92.92,logs\simulation_2025-11-14.log
20251114-231142-53-dea34b,2025-11-14T23:11:42.021688,79158238a610e39334818ac86592c2692730fde0,cfe548a522,llama3.1:8b,53,32,1,0.5469,37,0,55,37,0.67273,81.06,logs\simulation_2025-11-14.log
20251114-231323-54-310645,2025-11-14T23:13:23.301143,79158238a610e39334818ac86592c2692730fde0,77cc0afabe,llama3.1:8b,54,32,2,0.4531,41,0,59,41,0.69492,101.25,logs\simulation_2025-11-14.log
20251114-231451-55-d38c0a,2025-11-14T23:14:51.682188,79158238a610e39334818ac86592c2692730fde0,f3243b70ec,llama3.1:8b,55,32,0,0.4688,26,0,61,26,0.42623,88.35,logs\simulation_2025-11-14.log
20251114-231612-56-150052,2025-11-14T23:16:12.641069,79158238a610e39334818ac86592c2692730fde0,8dc5723bf6,llama3.1:8b,56,32,0,0.3281,24,0,64,24,0.375,80.93,logs\simulation_2025-11-14.log
20251114-231733-57-40e901,2025-11-14T23:17:33.471606,79158238a610e39334818ac86592c2692730fde0,f92384c465,llama3.1:8b,57,32,1,0.4062,38,0,63,38,0.60317,80.8,logs\simulation_2025-11-14.log
20251114-231843-58-e833ec,2025-11-14T23:18:43.151575,79158238a610e39334818ac86592c2692730fde0,097386cd0e,llama3.1:8b,58,32,0,0.3594,32,0,59,32,0.54237,69.65,logs\simulation_2025-11-14.log
20251114-232023-59-5c096b,2025-11-14T23:20:23.822373,79158238a610e39334818ac86592c2692730fde0,966b7bdfe3,llama3.1:8b,59,32,1,0.5312,49,0,67,49,0.73134,100.64,logs\simulation_2025-11-14.log
20251114-232145-60-fbaec9,2025-11-14T23:21:45.062349,79158238a610e39334818ac86592c2692730fde0,5806adc2e8,llama3.1:8b,60,32,0,0.3906,24,0,61,24,0.39344,81.21,logs\simulation_2025-11-14.log
20251114-232312-61-8b58ef,2025-11-14T23:23:12.701284,79158238a610e39334818ac86592c2692730fde0,c5a04816f0,llama3.1:8b,61,32,1,0.5781,32,0,57,32,0.5614,87.61,logs\simulation_2025-11-14.log
20251114-232443-62-c092a6,2025-11-14T23:24:43.680990,79158238a610e39334818ac86592c2692730fde0,67c4009bde,llama3.1:8b,62,32,0,0.5781,27,0,54,27,0.5,90.95,logs\simulation_2025-11-14.log
20251114-232619-63-5bc98e,2025-11-14T23:26:19.431629,79158238a610e39334818ac86592c2692730fde0,3438ce0e53,llama3.1:8b,63,32,1,0.3438,20,0,61,20,0.32787,95.72,logs\simulation_2025-11-14.log
20251114-232736-64-c5e91c,2025-11-14T23:27:36.831530,79158238a610e39334818ac86592c2692730fde0,5bc6dd7ae5,llama3.1:8b,64,32,0,0.5,39,0,68,39,0.57353,77.37,logs\simulation_2025-11-14.log
20251114-232901-65-51357e,2025-11-14T23:29:01.260656,79158238a610e39334818ac86592c2692730fde0,6422f77bf3,llama3.1:8b,65,32,1,0.4219,43,0,68,43,0.63235,84.4,logs\simulation_2025-11-14.log
20251114-233046-66-752464,2025-11-14T23:30:46.882440,79158238a610e39334818ac86592c2692730fde0,167122735a,llama3.1:8b,66,32,0,0.5,39,0,61,39,0.63934,105.59,logs\simulation_2025-11-14.log
20251114-233200-67-d61922,2025-11-14T23:32:00.101251,79158238a610e39334818ac86592c2692730fde0,da596837d7,llama3.1:8b,67,32,0,0.3906,21,0,61,21,0.34426,73.19,logs\simulation_2025-11-14.log
20251114-233318-68-86ab7f,2025-11-14T23:33:18.872141,79158238a610e39334818ac86592c2692730fde0,2be9742ecd,llama3.1:8b,68,32,1,0.3125,17,0,56,17,0.30357,78.74,logs\simulation_2025-11-14.log
20251114-233446-69-d33ec9,2025-11-14T23:34:46.961986,79158238a610e39334818ac86592c2692730fde0,894a545b2a,llama3.1:8b,69,32,1,0.5938,32,0,54,32,0.59259,88.06,logs\simulation_2025-11-14.log
20251114-233603-70-3c7e32,2025-11-14T23:36:03.651444,79158238a610e39334818ac86592c2692730fde0,97198e4583,llama3.1:8b,70,32,1,0.4219,35,0,58,35,0.60345,76.66,logs\simulation_2025-11-14.log
20251114-233816-71-3d625f,2025-11-14T23:38:16.891105,79158238a610e39334818ac86592c2692730fde0,ce09984629,llama3.1:8b,71,32,1,0.5469,59,0,68,59,0.86765,133.21,logs\simulation_2025-11-14.log
20251114-234013-72-1e940e,2025-11-14T23:40:13.262286,79158238a610e39334818ac86592c2692730fde0,6a10c109fe,llama3.1:8b,72,32,1,0.5312,38,0,56,38,0.67857,116.34,logs\simulation_2025-11-14.log
20251114-234150-73-cd2ee6,2025-11-14T23:41:50.362706,79158238a610e39334818ac86592c2692730fde0,fa505a37fb,llama3.1:8b,73,32,3,0.625,39,0,58,39,0.67241,97.07,logs\simulation_2025-11-14.log
20251114-234319-74-600f59,2025-11-14T23:43:18.981942,79158238a610e39334818ac86592c2692730fde0,696b4e101d,llama3.1:8b,74,32,1,0.4531,36,0,67,36,0.53731,88.59,logs\simulation_2025-11-14.log
20251114-234517-75-1884cc,2025-11-14T23:45:17.292538,79158238a610e39334818ac86592c2692730fde0,c1e1dec0ac,llama3.1:8b,75,32,2,0.4688,37,0,57,37,0.64912,118.28,logs\simulation_2025-11-14.log
20251114-234707-76-69dc0e,2025-11-14T23:47:07.543261,79158238a610e39334818ac86592c2692730fde0,f73278958a,llama3.1:8b,76,32,1,0.4531,31,0,62,31,0.5,110.23,logs\simulation_2025-11-14.log
20251114-234905-77-386e43,2025-11-14T23:49:05.141304,79158238a610e39334818ac86592c2692730fde0,0074442996,llama3.1:8b,77,32,1,0.4062,43,0,77,43,0.55844,117.57,logs\simulation_2025-11-14.log
20251114-235055-78-20de21,2025-11-14T23:50:55.153218,79158238a610e39334818ac86592c2692730fde0,449cd1249a,llama3.1:8b,78,32,1,0.625,41,0,64,41,0.64062,109.98,logs\simulation_2025-11-14.log
20251114-235218-79-8a13dd,2025-11-14T23:52:18.682815,79158238a610e39334818ac86592c2692730fde0,53a7728d03,llama3.1:8b,79,32,2,0.3125,28,0,72,28,0.38889,83.5,logs\simulation_2025-11-14.log
20251114-235358-80-9220b5,2025-11-14T23:53:58.800671,79158238a610e39334818ac86592c2692730fde0,c30be604f1,llama3.1:8b,80,32,1,0.5,48,0,68,48,0.70588,100.09,logs\simulation_2025-11-14.log
20251114-235537-81-ce4b73,2025-11-14T23:55:37.271113,79158238a610e39334818ac86592c2692730fde0,5a881a99ad,llama3.1:8b,81,32,1,0.4219,35,0,61,35,0.57377,98.44,logs\simulation_2025-11-14.log
20251116-130825-82-db2422,2025-11-16T13:08:25.147899,79158238a610e39334818ac86592c2692730fde0,c3b9008f8d,llama3.1:8b,82,32,3,0.5938,45,0,57,45,0.78947,81.31,logs\simulation_2025-11-16.log
20251116-135242-83-0532bd,2025-11-16T13:52:42.346794,79158238a610e39334818ac86592c2692730fde0,e7ec5f5aea,llama3.1:8b,83,32,1,0.5312,51,0,67,51,0.76119,2657.17,logs\simulation_2025-11-16.log
20251116-135413-84-3ec115,2025-11-16T13:54:13.427774,79158238a610e39334818ac86592c2692730fde0,da469d7727,llama3.1:8b,84,32,1,0.5781,39,0,58,39,0.67241,91.05,logs\simulation_2025-11-16.log
20251116-135610-85-55bf22,2025-11-16T13:56:10.138809,79158238a610e39334818ac86592c2692730fde0,dcf462d925,llama3.1:8b,85,32,1,0.5781,45,0,59,45,0.76271,116.69,logs\simulation_2025-11-16.log
20251116-135737-86-7c170a,2025-11-16T13:57:37.058049,79158238a610e39334818ac86592c2692730fde0,6ffe699a68,llama3.1:8b,86,32,2,0.4375,34,0,62,34,0.54839,86.89,logs\simulation_2025-11-16.log
